통계연월,통계시도명,통계시군구명,장애유형,성별,등록장애인수
202312,서울특별시,종로구,지체,남자,1274
202312,서울특별시,종로구,지체,여자,1067
202312,서울특별시,종로구,시각,남자,421
202312,서울특별시,종로구,시각,여자,247
202312,서울특별시,종로구,청각,남자,551
202312,서울특별시,종로구,청각,여자,403
202312,서울특별시,종로구,언어,남자,30
202312,서울특별시,종로구,언어,여자,17
202312,서울특별시,종로구,지적,남자,231
202312,서울특별시,종로구,지적,여자,155
202312,서울특별시,종로구,뇌병변,남자,311
202312,서울특별시,종로구,뇌병변,여자,215
202312,서울특별시,종로구,자폐성,남자,94
202312,서울특별시,종로구,자폐성,여자,24
202312,서울특별시,종로구,정신,남자,118
202312,서울특별시,종로구,정신,여자,123
202312,서울특별시,종로구,신장,남자,164
202312,서울특별시,종로구,신장,여자,101
202312,서울특별시,종로구,심장,남자,6
202312,서울특별시,종로구,심장,여자,8
202312,서울특별시,종로구,호흡기,남자,18
202312,서울특별시,종로구,호흡기,여자,7
202312,서울특별시,종로구,간,남자,30
202312,서울특별시,종로구,간,여자,14
202312,서울특별시,종로구,안면,남자,3
202312,서울특별시,종로구,안면,여자,4
202312,서울특별시,종로구,장루.요루,남자,22
202312,서울특별시,종로구,장루.요루,여자,11
202312,서울특별시,종로구,뇌전증,남자,6
202312,서울특별시,종로구,뇌전증,여자,7
202312,서울특별시,중구,지체,남자,1273
202312,서울특별시,중구,지체,여자,1049
202312,서울특별시,중구,시각,남자,401
202312,서울특별시,중구,시각,여자,253
202312,서울특별시,중구,청각,남자,481
202312,서울특별시,중구,청각,여자,428
202312,서울특별시,중구,언어,남자,19
202312,서울특별시,중구,언어,여자,10
202312,서울특별시,중구,지적,남자,185
202312,서울특별시,중구,지적,여자,119
202312,서울특별시,중구,뇌병변,남자,332
202312,서울특별시,중구,뇌병변,여자,196
202312,서울특별시,중구,자폐성,남자,64
202312,서울특별시,중구,자폐성,여자,21
202312,서울특별시,중구,정신,남자,123
202312,서울특별시,중구,정신,여자,87
202312,서울특별시,중구,신장,남자,129
202312,서울특별시,중구,신장,여자,107
202312,서울특별시,중구,심장,남자,9
202312,서울특별시,중구,심장,여자,6
202312,서울특별시,중구,호흡기,남자,31
202312,서울특별시,중구,호흡기,여자,4
202312,서울특별시,중구,간,남자,27
202312,서울특별시,중구,간,여자,9
202312,서울특별시,중구,안면,남자,2
202312,서울특별시,중구,안면,여자,6
202312,서울특별시,중구,장루.요루,남자,29
202312,서울특별시,중구,장루.요루,여자,16
