통계연월,통계시도명,통계시군구명,장애유형,성별,등록장애인수
202403,서울특별시,종로구,지체,남자,1283
202403,서울특별시,종로구,지체,여자,1070
202403,서울특별시,종로구,시각,남자,414
202403,서울특별시,종로구,시각,여자,247
202403,서울특별시,종로구,청각,남자,549
202403,서울특별시,종로구,청각,여자,399
202403,서울특별시,종로구,언어,남자,29
202403,서울특별시,종로구,언어,여자,17
202403,서울특별시,종로구,지적,남자,230
202403,서울특별시,종로구,지적,여자,152
202403,서울특별시,종로구,뇌병변,남자,315
202403,서울특별시,종로구,뇌병변,여자,220
202403,서울특별시,종로구,자폐성,남자,97
202403,서울특별시,종로구,자폐성,여자,24
202403,서울특별시,종로구,정신,남자,116
202403,서울특별시,종로구,정신,여자,123
202403,서울특별시,종로구,신장,남자,161
202403,서울특별시,종로구,신장,여자,105
202403,서울특별시,종로구,심장,남자,6
202403,서울특별시,종로구,심장,여자,8
202403,서울특별시,종로구,호흡기,남자,18
202403,서울특별시,종로구,호흡기,여자,8
202403,서울특별시,종로구,간,남자,31
202403,서울특별시,종로구,간,여자,14
202403,서울특별시,종로구,안면,남자,3
202403,서울특별시,종로구,안면,여자,5
202403,서울특별시,종로구,장루.요루,남자,24
202403,서울특별시,종로구,장루.요루,여자,12
202403,서울특별시,종로구,뇌전증,남자,6
202403,서울특별시,종로구,뇌전증,여자,8
202403,서울특별시,중구,지체,남자,1271
202403,서울특별시,중구,지체,여자,1042
202403,서울특별시,중구,시각,남자,395
202403,서울특별시,중구,시각,여자,251
202403,서울특별시,중구,청각,남자,478
202403,서울특별시,중구,청각,여자,427
202403,서울특별시,중구,언어,남자,20
202403,서울특별시,중구,언어,여자,9
202403,서울특별시,중구,지적,남자,186
202403,서울특별시,중구,지적,여자,121
202403,서울특별시,중구,뇌병변,남자,331
202403,서울특별시,중구,뇌병변,여자,189
202403,서울특별시,중구,자폐성,남자,67
202403,서울특별시,중구,자폐성,여자,21
202403,서울특별시,중구,정신,남자,122
202403,서울특별시,중구,정신,여자,87
202403,서울특별시,중구,신장,남자,134
202403,서울특별시,중구,신장,여자,112
202403,서울특별시,중구,심장,남자,10
202403,서울특별시,중구,심장,여자,6
202403,서울특별시,중구,호흡기,남자,29
202403,서울특별시,중구,호흡기,여자,3
202403,서울특별시,중구,간,남자,27
202403,서울특별시,중구,간,여자,9
202403,서울특별시,중구,안면,남자,2
202403,서울특별시,중구,안면,여자,6
202403,서울특별시,중구,장루.요루,남자,30
202403,서울특별시,중구,장루.요루,여자,13
202403,서울특별시,중구,뇌전증,남자,8
202403,서울특별시,중구,뇌전증,여자,8
202403,서울특별시,용산구,지체,남자,1580
202403,서울특별시,용산구,지체,여자,1307
202403,서울특별시,용산구,시각,남자,524
202403,서울특별시,용산구,시각,여자,332
202403,서울특별시,용산구,청각,남자,650
202403,서울특별시,용산구,청각,여자,519
202403,서울특별시,용산구,언어,남자,36
202403,서울특별시,용산구,언어,여자,15
202403,서울특별시,용산구,지적,남자,326
202403,서울특별시,용산구,지적,여자,201
202403,서울특별시,용산구,뇌병변,남자,419
202403,서울특별시,용산구,뇌병변,여자,275
202403,서울특별시,용산구,자폐성,남자,123
202403,서울특별시,용산구,자폐성,여자,26
202403,서울특별시,용산구,정신,남자,143
202403,서울특별시,용산구,정신,여자,111
202403,서울특별시,용산구,신장,남자,231
202403,서울특별시,용산구,신장,여자,126
202403,서울특별시,용산구,심장,남자,10
202403,서울특별시,용산구,심장,여자,5
202403,서울특별시,용산구,호흡기,남자,35
202403,서울특별시,용산구,호흡기,여자,15
202403,서울특별시,용산구,간,남자,52
202403,서울특별시,용산구,간,여자,15
202403,서울특별시,용산구,안면,남자,3
