통계연월,통계시도명,통계시군구명,장애유형,장애정도,등록장애인수
202504,서울특별시,종로구,지체,심한 장애,426
202504,서울특별시,종로구,시각,심한 장애,165
202504,서울특별시,종로구,청각,심한 장애,179
202504,서울특별시,종로구,언어,심한 장애,20
202504,서울특별시,종로구,지적,심한 장애,378
202504,서울특별시,종로구,뇌병변,심한 장애,271
202504,서울특별시,종로구,자폐성,심한 장애,125
202504,서울특별시,종로구,정신,심한 장애,230
202504,서울특별시,종로구,신장,심한 장애,205
202504,서울특별시,종로구,심장,심한 장애,8
202504,서울특별시,종로구,호흡기,심한 장애,25
202504,서울특별시,종로구,간,심한 장애,1
202504,서울특별시,종로구,안면,심한 장애,3
202504,서울특별시,종로구,장루.요루,심한 장애,2
202504,서울특별시,종로구,뇌전증,심한 장애,4
202504,서울특별시,종로구,지체,심하지 않은 장애,1849
202504,서울특별시,종로구,시각,심하지 않은 장애,477
202504,서울특별시,종로구,청각,심하지 않은 장애,770
202504,서울특별시,종로구,언어,심하지 않은 장애,22
202504,서울특별시,종로구,뇌병변,심하지 않은 장애,245
202504,서울특별시,종로구,정신,심하지 않은 장애,7
202504,서울특별시,종로구,신장,심하지 않은 장애,68
202504,서울특별시,종로구,심장,심하지 않은 장애,4
202504,서울특별시,종로구,간,심하지 않은 장애,39
202504,서울특별시,종로구,안면,심하지 않은 장애,4
202504,서울특별시,종로구,장루.요루,심하지 않은 장애,36
202504,서울특별시,종로구,뇌전증,심하지 않은 장애,9
202504,서울특별시,중구,지체,심한 장애,390
202504,서울특별시,중구,시각,심한 장애,162
202504,서울특별시,중구,청각,심한 장애,176
202504,서울특별시,중구,언어,심한 장애,16
202504,서울특별시,중구,지적,심한 장애,294
202504,서울특별시,중구,뇌병변,심한 장애,243
202504,서울특별시,중구,자폐성,심한 장애,92
202504,서울특별시,중구,정신,심한 장애,203
202504,서울특별시,중구,신장,심한 장애,179
202504,서울특별시,중구,심장,심한 장애,14
202504,서울특별시,중구,호흡기,심한 장애,27
202504,서울특별시,중구,간,심한 장애,2
202504,서울특별시,중구,안면,심한 장애,7
202504,서울특별시,중구,장루.요루,심한 장애,5
202504,서울특별시,중구,뇌전증,심한 장애,4
202504,서울특별시,중구,지체,심하지 않은 장애,1807
202504,서울특별시,중구,시각,심하지 않은 장애,466
202504,서울특별시,중구,청각,심하지 않은 장애,713
202504,서울특별시,중구,언어,심하지 않은 장애,12
202504,서울특별시,중구,뇌병변,심하지 않은 장애,253
202504,서울특별시,중구,정신,심하지 않은 장애,5
202504,서울특별시,중구,신장,심하지 않은 장애,67
202504,서울특별시,중구,심장,심하지 않은 장애,1
202504,서울특별시,중구,호흡기,심하지 않은 장애,1
202504,서울특별시,중구,간,심하지 않은 장애,36
202504,서울특별시,중구,안면,심하지 않은 장애,2
202504,서울특별시,중구,장루.요루,심하지 않은 장애,33
202504,서울특별시,중구,뇌전증,심하지 않은 장애,12
202504,서울특별시,용산구,지체,심한 장애,469
202504,서울특별시,용산구,시각,심한 장애,161
202504,서울특별시,용산구,청각,심한 장애,204
202504,서울특별시,용산구,언어,심한 장애,32
202504,서울특별시,용산구,지적,심한 장애,511
202504,서울특별시,용산구,뇌병변,심한 장애,322
202504,서울특별시,용산구,자폐성,심한 장애,157
202504,서울특별시,용산구,정신,심한 장애,237
202504,서울특별시,용산구,신장,심한 장애,259
202504,서울특별시,용산구,심장,심한 장애,10
202504,서울특별시,용산구,호흡기,심한 장애,41
202504,서울특별시,용산구,간,심한 장애,3
202504,서울특별시,용산구,안면,심한 장애,2
202504,서울특별시,용산구,장루.요루,심한 장애,5
202504,서울특별시,용산구,뇌전증,심한 장애,4
202504,서울특별시,용산구,지체,심하지 않은 장애,2222
202504,서울특별시,용산구,시각,심하지 않은 장애,648
202504,서울특별시,용산구,청각,심하지 않은 장애,907
202504,서울특별시,용산구,언어,심하지 않은 장애,22
202504,서울특별시,용산구,뇌병변,심하지 않은 장애,345
202504,서울특별시,용산구,정신,심하지 않은 장애,10
202504,서울특별시,용산구,신장,심하지 않은 장애,95
202504,서울특별시,용산구,심장,심하지 않은 장애,4
202504,서울특별시,용산구,호흡기,심하지 않은 장애,2
202504,서울특별시,용산구,간,심하지 않은 장애,61
202504,서울특별시,용산구,안면,심하지 않은 장애,2
202504,서울특별시,용산구,장루.요루,심하지 않은 장애,57
202504,서울특별시,용산구,뇌전증,심하지 않은 장애,10
202504,서울특별시,성동구,지체,심한 장애,735
202504,서울특별시,성동구,시각,심한 장애,180
202504,서울특별시,성동구,청각,심한 장애,297
202504,서울특별시,성동구,언어,심한 장애,39
202504,서울특별시,성동구,지적,심한 장애,703
202504,서울특별시,성동구,뇌병변,심한 장애,525
202504,서울특별시,성동구,자폐성,심한 장애,281
202504,서울특별시,성동구,정신,심한 장애,387
202504,서울특별시,성동구,신장,심한 장애,380
202504,서울특별시,성동구,심장,심한 장애,23
202504,서울특별시,성동구,호흡기,심한 장애,64
202504,서울특별시,성동구,간,심한 장애,2
202504,서울특별시,성동구,안면,심한 장애,4
202504,서울특별시,성동구,장루.요루,심한 장애,7
202504,서울특별시,성동구,뇌전증,심한 장애,7
202504,서울특별시,성동구,지체,심하지 않은 장애,3754
202504,서울특별시,성동구,시각,심하지 않은 장애,903
202504,서울특별시,성동구,청각,심하지 않은 장애,1507
202504,서울특별시,성동구,언어,심하지 않은 장애,45
202504,서울특별시,성동구,뇌병변,심하지 않은 장애,500
202504,서울특별시,성동구,정신,심하지 않은 장애,7
202504,서울특별시,성동구,신장,심하지 않은 장애,122
202504,서울특별시,성동구,심장,심하지 않은 장애,4
202504,서울특별시,성동구,호흡기,심하지 않은 장애,1
202504,서울특별시,성동구,간,심하지 않은 장애,83
202504,서울특별시,성동구,안면,심하지 않은 장애,6
202504,서울특별시,성동구,장루.요루,심하지 않은 장애,87
202504,서울특별시,성동구,뇌전증,심하지 않은 장애,27
202504,서울특별시,광진구,지체,심한 장애,850
202504,서울특별시,광진구,시각,심한 장애,226
202504,서울특별시,광진구,청각,심한 장애,323
202504,서울특별시,광진구,언어,심한 장애,46
202504,서울특별시,광진구,지적,심한 장애,813
202504,서울특별시,광진구,뇌병변,심한 장애,557
202504,서울특별시,광진구,자폐성,심한 장애,249
202504,서울특별시,광진구,정신,심한 장애,478
202504,서울특별시,광진구,신장,심한 장애,485
202504,서울특별시,광진구,심장,심한 장애,24
202504,서울특별시,광진구,호흡기,심한 장애,46
202504,서울특별시,광진구,간,심한 장애,3
202504,서울특별시,광진구,안면,심한 장애,6
202504,서울특별시,광진구,장루.요루,심한 장애,11
202504,서울특별시,광진구,뇌전증,심한 장애,13
202504,서울특별시,광진구,지체,심하지 않은 장애,4175
202504,서울특별시,광진구,시각,심하지 않은 장애,1066
202504,서울특별시,광진구,청각,심하지 않은 장애,1663
202504,서울특별시,광진구,언어,심하지 않은 장애,44
202504,서울특별시,광진구,뇌병변,심하지 않은 장애,526
202504,서울특별시,광진구,정신,심하지 않은 장애,15
202504,서울특별시,광진구,신장,심하지 않은 장애,149
202504,서울특별시,광진구,심장,심하지 않은 장애,7
202504,서울특별시,광진구,호흡기,심하지 않은 장애,3
202504,서울특별시,광진구,간,심하지 않은 장애,69
202504,서울특별시,광진구,안면,심하지 않은 장애,5
202504,서울특별시,광진구,장루.요루,심하지 않은 장애,101
202504,서울특별시,광진구,뇌전증,심하지 않은 장애,32
202504,서울특별시,동대문구,지체,심한 장애,1128
202504,서울특별시,동대문구,시각,심한 장애,264
202504,서울특별시,동대문구,청각,심한 장애,412
202504,서울특별시,동대문구,언어,심한 장애,64
202504,서울특별시,동대문구,지적,심한 장애,935
202504,서울특별시,동대문구,뇌병변,심한 장애,746
202504,서울특별시,동대문구,자폐성,심한 장애,264
202504,서울특별시,동대문구,정신,심한 장애,586
202504,서울특별시,동대문구,신장,심한 장애,536
202504,서울특별시,동대문구,심장,심한 장애,22
202504,서울특별시,동대문구,호흡기,심한 장애,65
202504,서울특별시,동대문구,간,심한 장애,9
202504,서울특별시,동대문구,안면,심한 장애,4
202504,서울특별시,동대문구,장루.요루,심한 장애,11
202504,서울특별시,동대문구,뇌전증,심한 장애,10
202504,서울특별시,동대문구,지체,심하지 않은 장애,5453
202504,서울특별시,동대문구,시각,심하지 않은 장애,1197
202504,서울특별시,동대문구,청각,심하지 않은 장애,2168
202504,서울특별시,동대문구,언어,심하지 않은 장애,64
202504,서울특별시,동대문구,뇌병변,심하지 않은 장애,665
202504,서울특별시,동대문구,정신,심하지 않은 장애,29
202504,서울특별시,동대문구,신장,심하지 않은 장애,197
