통계연월,통계시도명,통계시군구명,장애유형,장애정도,등록장애인수
202507,서울특별시,종로구,지체,심한 장애,417
202507,서울특별시,종로구,시각,심한 장애,165
202507,서울특별시,종로구,청각,심한 장애,177
202507,서울특별시,종로구,언어,심한 장애,22
202507,서울특별시,종로구,지적,심한 장애,375
202507,서울특별시,종로구,뇌병변,심한 장애,265
202507,서울특별시,종로구,자폐성,심한 장애,130
202507,서울특별시,종로구,정신,심한 장애,226
202507,서울특별시,종로구,신장,심한 장애,203
202507,서울특별시,종로구,심장,심한 장애,8
202507,서울특별시,종로구,호흡기,심한 장애,27
202507,서울특별시,종로구,간,심한 장애,1
202507,서울특별시,종로구,안면,심한 장애,3
202507,서울특별시,종로구,장루.요루,심한 장애,2
202507,서울특별시,종로구,뇌전증,심한 장애,4
202507,서울특별시,종로구,지체,심하지 않은 장애,1835
202507,서울특별시,종로구,시각,심하지 않은 장애,475
202507,서울특별시,종로구,청각,심하지 않은 장애,776
202507,서울특별시,종로구,언어,심하지 않은 장애,22
202507,서울특별시,종로구,뇌병변,심하지 않은 장애,250
202507,서울특별시,종로구,정신,심하지 않은 장애,7
202507,서울특별시,종로구,신장,심하지 않은 장애,70
202507,서울특별시,종로구,심장,심하지 않은 장애,4
202507,서울특별시,종로구,간,심하지 않은 장애,38
202507,서울특별시,종로구,안면,심하지 않은 장애,4
202507,서울특별시,종로구,장루.요루,심하지 않은 장애,36
202507,서울특별시,종로구,뇌전증,심하지 않은 장애,8
202507,서울특별시,중구,지체,심한 장애,387
202507,서울특별시,중구,시각,심한 장애,162
202507,서울특별시,중구,청각,심한 장애,175
202507,서울특별시,중구,언어,심한 장애,16
202507,서울특별시,중구,지적,심한 장애,289
202507,서울특별시,중구,뇌병변,심한 장애,235
202507,서울특별시,중구,자폐성,심한 장애,93
202507,서울특별시,중구,정신,심한 장애,196
202507,서울특별시,중구,신장,심한 장애,191
202507,서울특별시,중구,심장,심한 장애,12
202507,서울특별시,중구,호흡기,심한 장애,28
202507,서울특별시,중구,간,심한 장애,2
202507,서울특별시,중구,안면,심한 장애,6
202507,서울특별시,중구,장루.요루,심한 장애,5
